,score,pval
neutrogena,15.366607,8.854e-05
nervous,15.34049,8.977e-05
through,15.329385,9.03e-05
situation,15.329151,9.031e-05
cpap,15.304285,9.151e-05
relate,15.280154,9.269e-05
breakouts,15.221714,9.56e-05
gop,15.183896,9.753e-05
eblade,15.066482,0.00010379
definitely,15.026878,0.00010599
panromantic,14.994878,0.0001078
happiness,14.975655,0.00010891
counseling,14.930466,0.00011155
trailer,14.900087,0.00011336
sleeping,14.881415,0.00011449
crps,14.856877,0.00011598
iraq,14.838646,0.00011711
america,14.728377,0.00012416
try,14.592216,0.00013346
behaviour,14.559996,0.00013577
citalopram,14.445942,0.00014424
know,14.419857,0.00014625
gyno,14.370086,0.00015017
caliper,14.224501,0.00016224
aosp,14.196814,0.00016465
salicylic,14.19003,0.00016524
annamarie,14.118399,0.00017166
moisturize,14.113037,0.00017215
cafã,14.079826,0.00017521
exhausting,14.041864,0.00017879
bill,14.032819,0.00017965
hillary,14.021725,0.00018071
peerreviewed,13.930353,0.00018971
chad,13.905999,0.00019218
bush,13.889237,0.00019391
girls,13.878228,0.00019504
osteoarthritis,13.870307,0.00019587
state,13.860824,0.00019686
want,13.85605,0.00019736
charlie,13.678746,0.0002169
but,13.666283,0.00021834
ocm,13.612746,0.00022466
medications,13.594507,0.00022685
psychologist,13.515372,0.00023662
conversations,13.507936,0.00023756
mana,13.505119,0.00023791
link,13.484146,0.00024059
feminine,13.455963,0.00024423
by,13.455531,0.00024428
system,13.41794,0.00024923
military,13.415254,0.00024959
market,13.40553,0.00025088
witchery,13.40384,0.00025111
therapists,13.367089,0.00025608
advice,13.344556,0.00025917
coping,13.32261,0.00026222
thank,13.314305,0.00026339
usually,13.313637,0.00026348
abusive,13.296808,0.00026586
lgbtq,13.274201,0.00026908
iran,13.244672,0.00027336
lonely,13.224171,0.00027636
started,13.223484,0.00027646
seduction,13.20658,0.00027897
thayers,13.160354,0.00028593
tinker,13.150694,0.00028741
bed,13.084728,0.00029771
story,13.063694,0.00030108
felt,13.05537,0.00030242
offlane,13.04301,0.00030442
situations,12.987918,0.00031351
physical,12.986625,0.00031372
democrats,12.926465,0.00032397
jb,12.865645,0.00033467
xanax,12.85468,0.00033664
hero,12.826304,0.00034178
emotions,12.78726,0.00034899
million,12.757146,0.00035465
hurt,12.723287,0.00036113
aokp,12.703372,0.000365
buspar,12.69143,0.00036734
had,12.66262,0.00037304
troll,12.61791,0.00038207
campaign,12.60924,0.00038384
people,12.511273,0.0004045
bpd,12.477296,0.00041193
millbee,12.426801,0.00042322
references,12.384655,0.00043288
eyebrows,12.374598,0.00043521
troop,12.370225,0.00043623
sydney,12.365377,0.00043737
chronic,12.364237,0.00043764
diggle,12.328342,0.00044613
paul,12.317012,0.00044885
gender,12.314864,0.00044937
nyx,12.314676,0.00044941
lately,12.306237,0.00045145
power,12.302694,0.00045231
dsg,12.281238,0.00045753
ellie,12.218946,0.00047307
labo,12.20307,0.00047711
released,12.188805,0.00048077
atomizer,12.147466,0.00049155
warlord,12.138912,0.00049381
metformin,12.138613,0.00049388
tried,12.10052,0.00050408
intimate,12.052481,0.00051724
hannover,12.036572,0.00052167
lexapro,12.020862,0.00052608
cry,11.996303,0.00053306
sexuality,11.949347,0.00054667
dotabuff,11.939247,0.00054964
mother,11.933494,0.00055134
cervix,11.91152,0.00055788
aspergers,11.864111,0.00057226
lipstick,11.848553,0.00057706
love,11.846044,0.00057784
weeks,11.844189,0.00057842
juggernaut,11.813126,0.00058815
feels,11.808671,0.00058956
nonbinary,11.794917,0.00059393
nuclear,11.788842,0.00059587
everythingscience,11.779301,0.00059893
selfish,11.736247,0.00061294
veritas,11.725381,0.00061653
pregnancy,11.690991,0.00062803
olicity,11.689404,0.00062857
tampons,11.651383,0.00064155
sgs,11.634168,0.00064751
federal,11.592463,0.0006622
design,11.585636,0.00066463
euls,11.538604,0.00068166
nmom,11.517651,0.00068938
orientation,11.489042,0.00070008
venting,11.482105,0.0007027
california,11.461246,0.00071063
somnophiliac,11.451454,0.00071438
oily,11.431064,0.00072226
industry,11.426611,0.000724
clinically,11.416326,0.00072802
together,11.368562,0.00074698
prescribed,11.293169,0.00077793
ovulation,11.28369,0.00078191
nobilis,11.281851,0.00078268
transpeople,11.278549,0.00078408
tax,11.273532,0.0007862
trazadone,11.148894,0.00084082
congress,11.128024,0.00085033
counsellor,11.125433,0.00085152
motivation,11.110831,0.00085825
bf,11.092984,0.00086655
bloodseeker,11.089825,0.00086803
tripping,11.087894,0.00086893
pih,11.075245,0.00087488
kissed,11.055172,0.0008844
rand,11.005174,0.00090858
conspiracy,10.965236,0.00092837
moisturizing,10.957273,0.00093237
benton,10.920839,0.00095089
talked,10.911248,0.00095582
rosh,10.889546,0.00096709
treads,10.867136,0.00097886
psych,10.859072,0.00098313
national,10.857342,0.00098405
cars,10.854468,0.00098558
moisturized,10.85359,0.00098604
eleaf,10.846848,0.00098964
election,10.8163,0.0010061
aspd,10.769997,0.00103159
media,10.761307,0.00103644
research,10.722588,0.00105836
new,10.717468,0.00106129
dealing,10.716733,0.00106171
theatre,10.71419,0.00106317
amlactin,10.70626,0.00106774
climate,10.689029,0.00107773
economy,10.68671,0.00107908
google,10.675686,0.00108553
wasd,10.669342,0.00108926
crying,10.652612,0.00109916
sandman,10.632818,0.00111098
friendships,10.601219,0.00113013
selfesteem,10.598244,0.00113195
bha,10.596229,0.00113319
users,10.591451,0.00113612
science,10.580397,0.00114293
us,10.541981,0.00116693
foaming,10.533363,0.00117239
orgasm,10.52781,0.00117592
nebris,10.526501,0.00117675
ganked,10.519694,0.00118109
conservative,10.513626,0.00118497
history,10.503459,0.00119151
semester,10.501519,0.00119276
security,10.496947,0.00119572
linkens,10.483946,0.00120416
economic,10.482517,0.00120509
divorced,10.480894,0.00120615
review,10.451172,0.00122572
weapons,10.399228,0.00126068
hope,10.390815,0.00126644
isis,10.37604,0.00127661
exhausted,10.365342,0.00128403
youre,10.362907,0.00128573
venlafaxine,10.351196,0.00129391
normal,10.336783,0.00130405
when,10.32755,0.00131059
author,10.299092,0.00133096
unranked,10.274452,0.00134885
instocktrades,10.264083,0.00135645
like,10.260966,0.00135875
action,10.260341,0.00135921
sucks,10.255349,0.00136289
data,10.223581,0.00138656
spf,10.191763,0.00141069
bdubs,10.170538,0.00142703
baby,10.156866,0.00143765
uni,10.131482,0.00145758
hurtful,10.103019,0.00148027
vent,10.102554,0.00148064
source,10.080372,0.00149857
butch,10.079484,0.00149929
luvox,10.074909,0.00150302
weaver,10.022064,0.00154676
abyssal,10.010418,0.00155657
stressed,9.995753,0.00156902
exfoliating,9.995027,0.00156964
asleep,9.977023,0.00158506
celtic,9.951826,0.0016069
anemia,9.897067,0.00165542
masculine,9.876123,0.00167437
linings,9.832731,0.00171434
adorable,9.819589,0.00172663
issues,9.818466,0.00172768
constantly,9.785329,0.0017591
hypothyroidism,9.782554,0.00176175
global,9.752917,0.00179038
time,9.734295,0.00180861
lina,9.686145,0.00185663
cia,9.685132,0.00185765
libido,9.683368,0.00185944
americans,9.675641,0.00186727
rheumatologist,9.67385,0.00186909
party,9.661735,0.00188146
thoughts,9.626114,0.0019183
crime,9.607086,0.00193828
wellbutrin,9.595636,0.0019504
public,9.588705,0.00195778
india,9.569528,0.00197834
pimples,9.507689,0.00204613
tbqh,9.48176,0.00207525
blablabla,9.479135,0.00207822
loneliness,9.477317,0.00208028
ptsd,9.449935,0.00211157
asocial,9.448114,0.00211366
slark,9.423808,0.00214186
masks,9.413787,0.0021536
russia,9.390595,0.00218101
china,9.389035,0.00218287
trpers,9.368292,0.00220771
difficult,9.361403,0.00221602
eliquid,9.351151,0.00222846
experiences,9.336144,0.00224678
marth,9.332837,0.00225084
wanting,9.304883,0.00228544
tmj,9.301584,0.00228956
nursery,9.296452,0.00229598
technology,9.245468,0.00236079
ssris,9.243871,0.00236285
dated,9.225866,0.0023862
contortionist,9.180913,0.00244552
liverpool,9.179215,0.00244779
gerbil,9.176684,0.00245118
awful,9.176402,0.00245156
childfree,9.168785,0.00246178
stay,9.118473,0.00253041
angry,9.117691,0.00253149
amiibos,9.117596,0.00253162
overheats,9.113024,0.00253796
intimacy,9.070628,0.00259748
skype,9.05367,0.00262168
baj,9.037766,0.00264459
valiant,9.03527,0.0026482
diffusal,9.024935,0.00266321
pill,9.018352,0.00267282
pa,9.007053,0.0026894
healthy,9.001909,0.00269698
laws,9.001729,0.00269724
brienne,8.999328,0.00270079
dvz,8.997394,0.00270365
offleash,8.992563,0.00271081
glycolic,8.989381,0.00271553
bitcoin,8.957331,0.00276358
hado,8.946085,0.00278065
genderqueer,8.942959,0.00278541
civil,8.942025,0.00278684
aquila,8.940771,0.00278875
haha,8.939675,0.00279042
divorce,8.911353,0.00283403
director,8.85581,0.00292157
prices,8.821467,0.00297707
nonmonogamy,8.797865,0.00301583
vyvanse,8.791255,0.00302678
jealous,8.785817,0.00303582
prison,8.781057,0.00304375
extremely,8.771782,0.00305926
policy,8.771659,0.00305947
ultrasounds,8.737784,0.00311683
siblings,8.728355,0.00313299
miscarriage,8.724216,0.00314011
reapers,8.723993,0.00314049
pantyhose,8.714965,0.00315609
army,8.700052,0.00318201
twostory,8.673446,0.0032288
calvins,8.644863,0.00327985
confidence,8.644211,0.00328102
nsa,8.577497,0.00340343
jug,8.558325,0.00343946
honestly,8.541411,0.00347157
acupuncture,8.523447,0.003506
trump,8.509688,0.00353261
anymore,8.506633,0.00353854
knitting,8.499097,0.00355323
mask,8.498497,0.0035544
overweight,8.493384,0.0035644
cis,8.479397,0.00359191
colorstay,8.455982,0.00363845
comforting,8.424404,0.00370218
serotonin,8.409762,0.00373212
sadness,8.379834,0.00379407
guude,8.378519,0.00379682
diagnoses,8.37497,0.00380424
appt,8.374813,0.00380457
eciggity,8.357408,0.00384118
nandroid,8.356196,0.00384374
months,8.324923,0.00391048
piggies,8.318866,0.00392354
scott,8.268465,0.00403396
kik,8.238416,0.00410129
legia,8.222845,0.00413663
you,8.201955,0.00418453
fibromyalga,8.20182,0.00418484
go,8.180589,0.0042341
awake,8.162419,0.00427673
killed,8.14426,0.00431977
billion,8.102887,0.00441948
ob,8.102354,0.00442078
felicity,8.098348,0.00443056
hypermobility,8.081835,0.00447112
didn,8.073365,0.00449206
tired,8.025123,0.00461329
generikb,8.003367,0.00466904
uhcs,7.9748,0.0047433
insecure,7.96908,0.00475831
uterus,7.923364,0.00488004
snail,7.907841,0.0049221
vegan,7.893818,0.0049604
companies,7.865328,0.00503917
pronouns,7.844366,0.00509793
gossiping,7.823529,0.00515704
citizens,7.813088,0.00518692
currently,7.80268,0.00521688
obsessions,7.80259,0.00521714
day,7.789867,0.00525401
met,7.787193,0.00526179
pubs,7.780475,0.00528139
veronica,7.778826,0.00528622
trying,7.777829,0.00528913
bestfriend,7.777374,0.00529046
scars,7.76794,0.00531817
gti,7.762113,0.00533535
prescription,7.757983,0.00534757
alpha,7.754714,0.00535725
united,7.750938,0.00536846
scientists,7.738917,0.00540432
outfarm,7.719154,0.0054638
vechs,7.706245,0.00550301
chin,7.694761,0.00553813
gpm,7.690229,0.00555206
wrestlers,7.681442,0.00557916
bloodstone,7.66781,0.00562146
exfoliate,7.666055,0.00562694
cobra,7.642411,0.00570117
ideation,7.611007,0.00580131
borla,7.586522,0.00588063
confide,7.582213,0.0058947
yarn,7.571961,0.00592832
basher,7.554045,0.00598755
senate,7.553169,0.00599046
epidural,7.544875,0.0060181
broke,7.501821,0.00616366
sniper,7.497355,0.00617897
ovulating,7.490384,0.00620293
just,7.477453,0.00624764
romantic,7.47466,0.00625734
roms,7.452608,0.00633446
mass,7.434589,0.0063982
whiteheads,7.41911,0.00645347
cleanse,7.415487,0.00646648
aerotank,7.398628,0.00652737
adrafinil,7.398336,0.00652842
scrupulosity,7.387806,0.00656675
sertraline,7.386234,0.0065725
face,7.363968,0.00665438
dagon,7.348968,0.00671012
xx,7.347167,0.00671685
democratic,7.321723,0.00681261
dizziness,7.283118,0.00696056
arkas,7.265202,0.00703034
pierced,7.256594,0.00706411
roshan,7.253425,0.00707659
somnophilia,7.247705,0.00709917
glad,7.223422,0.00719584
agender,7.213669,0.00723504
night,7.207887,0.00725839
unhappy,7.184895,0.00735198
struggling,7.146011,0.00751309
microsoft,7.133178,0.00756705
geomancer,7.111308,0.00765992
cant,7.100479,0.00770633
child,7.097618,0.00771865
selfconscious,7.093549,0.00773619
world,7.091966,0.00774303
court,7.068462,0.00784526
submitted,7.059946,0.00788264
hard,7.05502,0.00790434
com,7.046339,0.00794274
hang,7.042355,0.00796043
problems,7.026981,0.00802906
since,7.024541,0.00804001
thankfully,7.024111,0.00804194
caring,7.023896,0.0080429
sister,6.994889,0.00817428
kids,6.963958,0.00831679
tell,6.955674,0.00835538
smile,6.945163,0.00840462
site,6.9379,0.00843881
apnoea,6.934533,0.00845471
worse,6.932822,0.0084628
fevers,6.932535,0.00846417
hurts,6.923448,0.00850728
ssy,6.923118,0.00850885
going,6.893658,0.00865021
orton,6.877824,0.00872717
derm,6.867704,0.00877674
corporate,6.8585,0.00882206
tbh,6.856326,0.0088328
ursa,6.856069,0.00883407
kat,6.838935,0.0089192
creeps,6.814436,0.00904239
ecr,6.813933,0.00904493
shinsekai,6.811127,0.00905916
squealer,6.795872,0.00913689
ataks,6.770705,0.00926662
shooting,6.748154,0.00938447
biotic,6.748082,0.00938485
lip,6.725841,0.00950259
sms,6.707151,0.0096027
autofiring,6.694216,0.00967262
hobbies,6.694059,0.00967347
dysautonomia,6.667116,0.0098208
washington,6.651969,0.00990463
supreme,6.645132,0.00994271
traumatic,6.636005,0.00999378
wanted,6.634668,0.01000128
younger,6.63188,0.01001695
piggie,6.626213,0.01004887
about,6.611693,0.01013113
pavs,6.536027,0.01057112
transmasculine,6.534345,0.01058112
birthday,6.533906,0.01058373
crutches,6.529922,0.01060746
launch,6.528166,0.01061794
clothes,6.525265,0.01063527
male,6.518831,0.01067382
israeli,6.518339,0.01067677
attractiveness,6.510272,0.01072531
fwb,6.502792,0.01077052
report,6.500393,0.01078506
lovely,6.487484,0.01086367
pills,6.439455,0.01116129
infj,6.427197,0.01123858
rut,6.408552,0.0113572
celexa,6.343148,0.01178356
ganking,6.311305,0.01199705
officer,6.30936,0.01201022
gorgeous,6.303214,0.01205193
afab,6.302068,0.01205972
borderline,6.297105,0.01209353
infjs,6.296478,0.01209781
syria,6.295488,0.01210457
htp,6.286747,0.01216441
comedones,6.282727,0.01219204
grope,6.26923,0.01228525
cried,6.264243,0.01231988
workers,6.264182,0.0123203
cirrhosis,6.26015,0.01234838
psychotherapist,6.244182,0.01246019
jeannie,6.242326,0.01247326
ldr,6.237717,0.01250576
progesterone,6.231303,0.01255114
termi,6.230593,0.01255617
socially,6.186497,0.01287288
shave,6.178658,0.01293003
introverted,6.177888,0.01293566
crush,6.174704,0.01295896
lorazepam,6.15994,0.01306756
tarantulas,6.145469,0.01317492
taking,6.140116,0.01321486
little,6.120465,0.01336256
dosage,6.118165,0.01337997
hypermobile,6.112901,0.01341987
david,6.089521,0.01359859
xbl,6.075755,0.01370497
lingerie,6.068001,0.01376526
apple,6.06316,0.01380305
counselor,6.039265,0.01399111
counsellors,6.038724,0.0139954
entendu,6.03378,0.01403464
sny,6.032984,0.01404098
clinkz,6.031196,0.01405521
glasslands,6.024777,0.01410641
ivar,6.022698,0.01412304
contour,6.017348,0.01416592
hotd,6.004451,0.01426984
fbi,5.989454,0.01439165
dai,5.988382,0.01440041
clinique,5.987225,0.01440985
til,5.979027,0.01447699
rom,5.974782,0.01451188
scared,5.971457,0.01453927
stangmods,5.950732,0.01471118
contractions,5.935132,0.01484195
lykke,5.923673,0.01493878
konjac,5.921478,0.0149574
enjoy,5.912414,0.01503456
sliver,5.912407,0.01503461
comfort,5.902903,0.01511595
ortons,5.897307,0.01516405
paulas,5.892436,0.01520606
batrider,5.889979,0.01522728
gpt,5.865353,0.01544176
trish,5.842045,0.01564763
trans,5.7985,0.01603985
viper,5.78315,0.01618052
pansexual,5.771687,0.0162864
undertaker,5.770512,0.01629729
tramadol,5.764686,0.01635141
get,5.748963,0.0164984
fph,5.7444,0.0165413
strangers,5.737023,0.01661093
care,5.736315,0.01661762
rights,5.716685,0.01680443
ashamed,5.715046,0.01682012
randomed,5.714289,0.01682738
awkward,5.691131,0.01705087
la,5.689686,0.0170649
date,5.686759,0.01709339
klonopin,5.679283,0.01716638
ult,5.65518,0.01740389
also,5.623705,0.01771915
else,5.61117,0.01784634
aunt,5.604009,0.01791943
international,5.59675,0.01799383
friendzone,5.548221,0.01849949
weaned,5.519487,0.01880577
eyeshadow,5.5085,0.01892427
masturbate,5.48321,0.01919997
vagina,5.468485,0.0193624
rough,5.436071,0.01972499
midlane,5.42256,0.01987819
felting,5.419055,0.01991814
cleavage,5.411427,0.02000535
apathetic,5.409728,0.02002483
showering,5.406654,0.02006013
officers,5.402166,0.02011178
yetii,5.394956,0.02019503
telling,5.371815,0.02046467
need,5.364344,0.02055252
forces,5.332969,0.02092571
fiance,5.310585,0.02119624
recently,5.275984,0.02162156
peruvians,5.256796,0.02186123
poconos,5.251533,0.02192744
gusset,5.250366,0.02194215
chronotherapy,5.204271,0.02253146
overview,5.1834,0.02280366
union,5.175159,0.02291208
newedge,5.164143,0.02305784
lcms,5.129686,0.02351999
vape,5.112475,0.02375441
glebe,5.104281,0.02386686
lysa,5.085914,0.02412096
york,5.08173,0.02417923
solar,5.040679,0.02475878
hug,5.030804,0.02490033
mate,5.018432,0.02507887
bkbs,4.994846,0.02542291
laning,4.991332,0.0254746
bras,4.973823,0.02573371
maybe,4.955857,0.02600243
aeropostale,4.950533,0.02608262
went,4.942677,0.02620143
yetiiwho,4.935633,0.02630843
something,4.933521,0.0263406
suarez,4.916028,0.02660862
nations,4.910492,0.02669404
week,4.90497,0.02677952
lutheran,4.896523,0.02691083
carbon,4.885016,0.02709078
insomnia,4.868528,0.02735082
transmen,4.864588,0.02741334
harbour,4.853906,0.0275836
picky,4.819369,0.02814165
makes,4.814535,0.02822068
newedgemustang,4.808912,0.02831292
cat,4.805196,0.02837403
thankful,4.801941,0.0284277
growth,4.794135,0.02855679
stormcloaks,4.76338,0.0290714
zxcvfr,4.756458,0.02918855
painful,4.755586,0.02920334
been,4.680541,0.03050614
gapps,4.665932,0.03076673
experience,4.614129,0.0317096
roamin,4.60179,0.0319386
confident,4.593761,0.03208853
wedding,4.592337,0.03211519
anyway,4.590785,0.03214429
ebrake,4.562627,0.03267691
whatever,4.526282,0.03337807
find,4.518292,0.03353429
always,4.477805,0.03433779
vaping,4.451104,0.0348787
rememberer,4.449691,0.03490756
wish,4.44777,0.03494685
darvanshel,4.437001,0.03516798
lunch,4.405131,0.03583097
shrines,4.402417,0.03588803
elses,4.394181,0.03606177
flv,4.376444,0.03643893
debate,4.374679,0.0364767
waterford,4.367256,0.03663595
out,4.357243,0.03685191
sick,4.35042,0.03699982
stun,4.342001,0.0371832
greece,4.310211,0.03788427
legs,4.307144,0.03795263
omnirom,4.295109,0.03822214
nether,4.27835,0.0386008
stressful,4.263041,0.03895014
meepo,4.238871,0.03950843
keys,4.237527,0.03953973
horrible,4.23319,0.03964087
jaird,4.209314,0.0402026
atandt,4.207741,0.04023989
nitesmoke,4.19757,0.04048195
understand,4.1896,0.04067269
nightlies,4.169552,0.04115667
wrestler,4.169469,0.0411587
pads,4.16317,0.04131202
loving,4.148234,0.04167797
alucard,4.134963,0.04200599
sr,4.121974,0.04232967
nasa,4.111298,0.04259765
live,4.101586,0.04284302
hawkman,4.079727,0.04340068
couple,4.053557,0.04407838
millbees,4.038562,0.04447169
bomer,4.03338,0.0446085
percent,4.033369,0.04460878
generiks,4.029124,0.04472117
kunkka,3.984397,0.04592352
coils,3.97712,0.04612235
mycareer,3.958972,0.04662218
nisovin,3.944616,0.04702158
dress,3.927433,0.04750441
esteem,3.919016,0.04774282
russian,3.908254,0.04804949
mine,3.893927,0.04846099
sdcard,3.89145,0.0485325
honest,3.890665,0.0485552
sounds,3.845866,0.04986877
appreciate,3.840195,0.05003771
knit,3.805513,0.05108413
fault,3.793546,0.05145055
islamic,3.772061,0.05211537
niresh,3.771402,0.05213593
weight,3.767878,0.05224588
dispenser,3.766262,0.05229638
ill,3.754523,0.05266483
willing,3.74269,0.053039
moved,3.734723,0.05329249
though,3.71505,0.05392401
thinking,3.707847,0.05415721
schoolies,3.673286,0.05529107
job,3.631429,0.05669812
home,3.627702,0.05682522
helpful,3.626464,0.05686751
getting,3.622109,0.05701654
roommate,3.617736,0.05716663
hate,3.610957,0.05740009
nyssa,3.599966,0.05778074
or,3.598908,0.05781755
other,3.561787,0.05912407
willakers,3.52016,0.06062658
bit,3.506951,0.06111183
sorry,3.504123,0.06121624
former,3.502929,0.06126038
college,3.481404,0.06206208
highheels,3.481297,0.06206606
until,3.469811,0.06249845
pm,3.423533,0.06427333
triple,3.385036,0.06579074
mirakuru,3.361121,0.06675261
while,3.336875,0.06774317
realise,3.326069,0.06818968
worried,3.319914,0.0684454
havent,3.306441,0.06900881
zelnite,3.305639,0.06904247
decided,3.271375,0.0704985
doing,3.270318,0.07054396
ehpro,3.253495,0.07127135
