,score,pval
ffa,3.246896,0.07155885
afraid,3.236785,0.07200181
vidmaster,3.228054,0.07238668
elca,3.145886,0.07611867
basically,3.129045,0.07690879
pudge,3.119803,0.07734615
mbv,3.089828,0.07878311
restrict,3.088354,0.07885454
seeing,3.088181,0.07886293
do,3.082542,0.07913674
csgo,3.056648,0.08040738
jld,3.04745,0.08086403
pick,3.02846,0.08181565
medea,2.990858,0.0837358
lesnar,2.978088,0.08439891
ionic,2.977082,0.08445139
better,2.922454,0.08735493
gotten,2.874978,0.08996623
kind,2.858048,0.09091777
laptop,2.852678,0.09122189
cute,2.840521,0.09191441
easier,2.810225,0.09366524
everything,2.808267,0.09377966
knowing,2.793682,0.09463654
able,2.785421,0.09512567
fnv,2.77651,0.09565639
anything,2.729195,0.09852893
officials,2.726324,0.09870627
turquoise,2.708269,0.09982928
eat,2.703531,0.10012626
tf,2.691428,0.10088938
thanks,2.64104,0.10413535
much,2.630806,0.10480849
sweater,2.582268,0.10806674
away,2.528769,0.11178741
yeah,2.439821,0.1182897
shouldnt,2.434729,0.11867442
wrestlemania,2.424136,0.11947913
your,2.403735,0.12104594
study,2.366,0.12400442
miss,2.333874,0.12658653
around,2.28148,0.13092686
researchers,2.277546,0.13125939
if,2.272986,0.13164606
spiderbro,2.257461,0.13297192
talking,2.216141,0.13657407
un,2.212399,0.13690565
still,2.190442,0.13886946
sit,2.189733,0.13893335
now,2.177169,0.14007195
sad,2.139367,0.14356109
shipleys,2.118025,0.14557416
too,2.107452,0.14658323
bray,2.096784,0.1476093
swelling,2.095092,0.14777286
luck,2.057386,0.15146984
gdata,2.034371,0.15377779
kanger,2.013206,0.15593545
can,1.968503,0.16060687
then,1.961712,0.16133037
dogekac,1.928871,0.16488203
thing,1.899949,0.16808404
templars,1.885102,0.16975538
everyone,1.878436,0.17051206
probably,1.8191,0.17742048
ask,1.810704,0.17842374
think,1.808353,0.17870594
ulta,1.778814,0.18229508
never,1.759059,0.18474187
saicom,1.743246,0.18672806
realize,1.728169,0.18864492
rool,1.726794,0.18882081
anyone,1.703012,0.19189456
work,1.688031,0.19386068
at,1.663282,0.19716084
again,1.658525,0.19780265
shepard,1.645289,0.19960137
heels,1.570534,0.21012954
that,1.451767,0.22824464
search,1.420274,0.23335829
pretty,1.337656,0.24744767
deathseeker,1.331623,0.24851674
sers,1.282702,0.25739729
finishers,1.249011,0.26374141
matah,1.24584,0.26434858
take,1.236935,0.2660626
id,1.215529,0.27023984
happened,1.187802,0.27577327
mind,1.167726,0.27986891
brictop,1.151494,0.28323666
start,1.140897,0.28546295
even,1.114951,0.29100834
kid,1.085406,0.29749128
batarians,0.972557,0.32404342
very,0.947615,0.33032719
de,0.939339,0.33244794
he,0.936282,0.3332358
be,0.912927,0.33933905
long,0.863173,0.35285239
would,0.854096,0.35539604
wow,0.791253,0.37372146
was,0.789443,0.37426868
for,0.756496,0.38442734
guys,0.738527,0.39013315
up,0.7385,0.39014167
its,0.73708,0.39059776
how,0.73203,0.39222587
them,0.651048,0.41973842
doesnt,0.58704,0.44356612
enough,0.546414,0.45978646
before,0.44195,0.50618298
way,0.438961,0.50762428
bad,0.421755,0.51606274
it,0.418684,0.51759423
guess,0.38211,0.5364763
only,0.357914,0.54966682
piston,0.324963,0.56863995
didnt,0.291933,0.5889842
hes,0.258267,0.6113131
actually,0.214563,0.64321419
not,0.182397,0.66932096
wouldnt,0.144672,0.70368037
good,0.123783,0.72496745
summerslam,0.078578,0.77923311
faraday,0.068419,0.79365319
thats,0.030241,0.86194447
some,0.008463,0.92670221
all,0.006698,0.93477433
convergence,0.000598,0.98048514
got,0.000129,0.99093718
