,score,pval
horrible,3.601493,0.05772771
able,3.567915,0.05890624
at,3.545748,0.05969824
nyssa,3.538128,0.05997311
that,3.522416,0.06054413
pm,3.511825,0.06093231
realise,3.497174,0.06147364
fnv,3.497061,0.06147784
medea,3.495191,0.0615473
everyone,3.473238,0.06236912
willakers,3.370881,0.06635827
roommate,3.358029,0.06687808
mbv,3.356455,0.06694201
researchers,3.317478,0.06854691
swelling,3.312383,0.06875973
zelnite,3.253049,0.07129075
thanks,3.240633,0.07183287
again,3.24045,0.07184091
ehpro,3.220421,0.0727249
anyone,3.215779,0.07293146
college,3.187321,0.07421153
eat,3.157156,0.07559477
mirakuru,3.129535,0.07688567
very,3.118367,0.07741432
vidmaster,3.106837,0.07796423
weight,3.078184,0.07934907
thats,3.048632,0.08080517
elca,2.977899,0.08440878
couple,2.969439,0.08485125
ionic,2.924019,0.08727028
highheels,2.896866,0.08875196
getting,2.873503,0.09004869
easier,2.851131,0.09130965
afraid,2.737011,0.09804799
gdata,2.730634,0.0984402
spiderbro,2.727692,0.09862172
fault,2.724862,0.09879669
going,2.723461,0.09888338
miss,2.688879,0.10105089
yeah,2.669994,0.10225639
decided,2.654109,0.10328264
willing,2.602597,0.10668878
jld,2.599495,0.10689776
kanger,2.595232,0.10718576
wrestlemania,2.576346,0.1084718
ffa,2.5129,0.11291796
turquoise,2.506092,0.11340682
bray,2.501607,0.11373019
moved,2.499076,0.11391313
ulta,2.380689,0.12284335
pudge,2.293065,0.12995309
be,2.232491,0.13513579
knowing,2.211695,0.13696814
he,2.177341,0.14005621
cute,2.165984,0.14109432
basically,2.165684,0.14112177
templars,2.147677,0.14278583
shipleys,2.112175,0.14613151
home,2.082535,0.14899254
for,2.04352,0.15285558
hate,2.025737,0.15465386
was,1.991922,0.15814002
live,1.982057,0.15917388
up,1.978652,0.15953252
guys,1.950898,0.1624901
gotten,1.939613,0.16371061
makes,1.909039,0.16707007
dogekac,1.905746,0.16743656
shepard,1.878448,0.17051066
finishers,1.875348,0.17086378
job,1.871758,0.17127388
its,1.821022,0.1771917
havent,1.7972,0.18005137
maybe,1.790595,0.18085368
how,1.713562,0.19052386
saicom,1.701344,0.19211225
heels,1.688461,0.19380402
bit,1.682936,0.19453474
enough,1.664897,0.19694348
ill,1.605104,0.20518141
them,1.481879,0.22348081
rool,1.471593,0.22509447
sad,1.431835,0.23146512
shouldnt,1.430284,0.23171805
deathseeker,1.302833,0.25369647
matah,1.212839,0.27077069
not,1.175583,0.27825713
brictop,1.169963,0.27940891
de,1.138295,0.28601293
luck,1.054547,0.30446211
away,1.025761,0.31115634
before,1.021599,0.31214014
got,1.00871,0.31521209
would,0.96236,0.32659311
batarians,0.949334,0.32988895
only,0.898681,0.34313554
didnt,0.736531,0.39077443
work,0.731674,0.39234115
start,0.665416,0.41465436
sers,0.653065,0.41901892
guess,0.598389,0.43919343
good,0.578823,0.44677385
way,0.479204,0.48878294
kid,0.365318,0.54556736
long,0.365286,0.54558493
wow,0.308032,0.57889011
piston,0.240344,0.62395763
wouldnt,0.195182,0.65863837
summerslam,0.158588,0.69045951
faraday,0.137582,0.71069686
id,0.10909,0.74118289
doesnt,0.079413,0.77809491
happened,0.060688,0.80541122
bad,0.022413,0.88099444
pretty,0.020159,0.88709398
some,0.017984,0.89332046
all,0.014573,0.90391294
convergence,0.000438,0.98330335
